año_semana,Femenino,Masculino,Adolescencia,Adulto,Adulto mayor,Ancianidad,Infancia,Menor de 1 año,Primera infancia,Afrocolombiano,Indígena,Otro,Rom,Contributivo,Especial,Excepción,Indeterminado,No asegurado,Subsidiado,Clasico,Grave,Conf. por laboratorio,Conf. por nexo,Probable,No,Si,Fallecido,Vivo,Cabecera municipal,Centro Poblado,Rural disperso,BARRANQUILLA,año,semana,total_casos
2021_39,77,71,73,37,0,0,31,1,6,0,0,148,0,67,0,4,2,3,72,145,3,23,0,125,47,101,0,148,148,0,0,148,2021,39,148
2021_40,73,78,78,26,2,0,35,0,10,0,0,151,0,66,0,5,3,2,75,150,1,32,0,119,52,99,0,151,151,0,0,151,2021,40,151
2021_41,81,99,90,39,4,0,35,0,12,1,2,177,0,87,0,5,1,0,87,177,3,27,0,153,68,112,0,180,180,0,0,180,2021,41,180
2021_42,70,73,68,31,1,1,29,0,13,0,1,142,0,61,0,7,0,4,71,139,4,18,0,125,51,92,0,143,143,0,0,143,2021,42,143
2021_43,94,85,94,48,1,0,27,2,7,1,0,177,1,79,0,6,0,5,89,175,4,38,0,141,77,102,0,179,179,0,0,179,2021,43,179
2021_44,116,138,124,66,3,0,47,3,11,1,0,253,0,110,0,15,0,7,122,244,10,58,0,196,99,155,0,254,254,0,0,254,2021,44,254
2021_45,186,203,196,76,2,0,89,0,26,0,0,389,0,159,0,15,2,12,201,379,10,77,1,311,152,237,2,387,389,0,0,389,2021,45,389
2021_46,218,248,248,96,7,0,77,2,36,1,0,463,2,196,0,18,4,13,235,449,17,91,2,373,190,276,1,465,466,0,0,466,2021,46,466
2021_47,220,197,199,114,7,0,72,2,23,1,0,415,1,173,0,17,4,12,211,411,6,91,0,326,193,224,0,417,416,1,0,417,2021,47,417
2021_48,166,186,176,89,5,2,61,2,17,0,0,352,0,159,0,13,5,9,166,346,6,95,2,255,168,184,0,352,352,0,0,352,2021,48,352
2021_49,170,182,160,86,8,2,71,1,24,1,0,351,0,171,0,20,3,9,149,345,7,100,5,247,175,177,0,352,351,1,0,352,2021,49,352
2021_50,119,146,112,59,4,1,63,0,26,0,3,262,0,133,0,10,2,6,114,261,4,55,1,209,145,120,0,265,265,0,0,265,2021,50,265
2021_51,135,138,127,69,5,0,55,0,17,1,0,272,0,131,1,12,1,4,124,269,4,70,0,203,147,126,0,273,273,0,0,273,2021,51,273
2021_52,121,132,112,54,7,1,58,0,21,0,1,250,2,131,0,6,0,5,111,241,12,62,1,190,127,126,0,253,253,0,0,253,2021,52,253
2022_1,81,105,85,43,5,2,39,1,11,0,0,184,2,99,0,9,0,4,74,184,2,63,0,123,71,115,0,186,186,0,0,186,2022,1,186
2022_2,54,73,61,35,1,0,17,0,13,1,0,126,0,58,0,9,1,4,55,123,4,39,0,88,65,62,0,127,127,0,0,127,2022,2,127
2022_3,48,69,51,23,3,0,29,0,11,0,0,117,0,49,0,4,1,1,62,114,3,29,0,88,54,63,0,117,117,0,0,117,2022,3,117
2022_4,46,63,48,20,1,0,27,0,13,0,0,108,1,55,0,4,0,5,45,103,6,24,0,85,52,57,0,109,109,0,0,109,2022,4,109
2022_5,56,52,52,25,1,0,23,0,7,0,0,108,0,58,0,6,2,1,41,108,0,36,0,72,49,59,0,108,108,0,0,108,2022,5,108
2022_6,49,56,56,18,2,0,17,0,12,0,0,105,0,60,0,6,0,4,35,105,0,37,0,68,42,63,0,105,105,0,0,105,2022,6,105
2022_7,27,43,35,16,1,0,15,0,3,0,0,69,1,38,0,1,0,1,30,62,8,15,0,55,28,42,0,70,70,0,0,70,2022,7,70
2022_8,28,22,22,12,1,0,9,2,4,0,0,50,0,26,0,3,0,0,21,49,1,10,0,40,13,37,0,50,50,0,0,50,2022,8,50
2022_9,39,21,24,17,0,0,15,0,4,0,0,60,0,24,0,3,0,3,30,60,0,15,0,45,22,38,0,60,60,0,0,60,2022,9,60
2022_10,19,25,16,6,4,0,9,0,9,0,0,44,0,20,0,1,1,0,22,43,1,12,0,32,17,27,0,44,44,0,0,44,2022,10,44
2022_11,12,21,19,6,1,0,5,0,2,0,0,33,0,15,0,3,0,2,13,31,2,9,0,24,12,21,0,33,33,0,0,33,2022,11,33
2022_12,10,14,15,5,1,0,3,0,0,0,0,24,0,13,0,1,0,0,10,24,0,10,0,14,6,18,0,24,24,0,0,24,2022,12,24
2022_13,12,15,12,6,2,0,4,0,3,0,0,27,0,14,0,0,0,0,13,27,0,12,0,15,8,19,0,27,27,0,0,27,2022,13,27
2022_14,8,17,10,10,0,0,2,0,3,0,0,25,0,13,0,0,1,1,10,25,0,9,0,16,10,15,0,25,25,0,0,25,2022,14,25
2022_15,7,7,5,4,0,0,1,0,4,0,0,14,0,6,0,0,0,0,8,13,1,6,0,8,3,11,0,14,14,0,0,14,2022,15,14
2022_16,10,10,10,6,0,0,3,0,1,0,0,20,0,10,0,2,1,1,6,19,1,8,0,12,11,9,0,20,20,0,0,20,2022,16,20
2022_17,4,5,3,3,0,0,1,0,2,0,0,9,0,3,0,2,0,0,4,9,0,6,0,3,3,6,0,9,9,0,0,9,2022,17,9
2022_18,2,13,12,2,0,0,0,0,1,0,0,15,0,8,0,1,0,0,6,15,0,7,0,8,7,8,0,15,15,0,0,15,2022,18,15
2022_19,10,10,7,4,1,0,6,1,1,0,0,19,1,13,0,1,0,0,6,20,0,8,1,11,10,10,0,20,20,0,0,20,2022,19,20
2022_20,8,9,5,4,0,0,2,0,6,0,0,17,0,8,0,1,0,0,8,17,0,3,0,14,7,10,0,17,17,0,0,17,2022,20,17
2022_21,12,8,6,7,1,0,2,0,4,0,0,20,0,11,0,1,0,2,6,20,0,9,0,11,10,10,0,20,20,0,0,20,2022,21,20
2022_22,9,13,12,6,1,0,1,0,2,0,0,22,0,14,0,0,0,0,8,22,0,9,0,13,6,16,0,22,22,0,0,22,2022,22,22
2022_23,11,12,12,3,1,0,3,1,3,1,0,22,0,7,0,2,0,1,13,21,2,3,0,20,9,14,0,23,23,0,0,23,2022,23,23
2022_24,14,13,8,10,2,1,4,0,2,0,0,27,0,22,0,0,0,0,5,25,2,10,0,17,17,10,0,27,27,0,0,27,2022,24,27
2022_25,20,14,16,11,0,0,4,0,3,0,0,34,0,20,0,0,0,0,14,32,2,9,0,25,18,16,0,34,34,0,0,34,2022,25,34
2022_26,17,15,12,13,0,0,5,0,2,0,0,32,0,16,0,4,0,0,12,31,1,14,0,18,11,21,0,32,32,0,0,32,2022,26,32
2022_27,31,13,26,7,2,0,3,0,6,1,0,43,0,22,0,1,0,2,19,43,1,20,0,24,13,31,0,44,44,0,0,44,2022,27,44
2022_28,35,33,29,17,3,0,14,0,5,1,0,67,0,30,0,4,0,2,32,65,3,21,0,47,30,38,0,68,68,0,0,68,2022,28,68
2022_29,49,50,53,27,0,0,13,0,6,0,0,99,0,48,0,3,1,2,45,96,3,29,0,70,40,59,0,99,99,0,0,99,2022,29,99
2022_30,43,48,46,25,4,0,10,0,6,1,0,90,0,44,0,5,1,2,39,88,3,34,0,57,38,53,0,91,91,0,0,91,2022,30,91
2022_31,52,61,45,31,3,0,27,0,7,0,0,113,0,58,0,5,1,2,47,110,3,38,0,75,49,64,0,113,113,0,0,113,2022,31,113
2022_32,34,54,45,23,0,0,12,0,8,0,0,88,0,38,0,1,2,3,44,87,1,28,0,60,34,54,0,88,87,1,0,88,2022,32,88
2022_33,52,65,58,34,1,0,18,0,6,0,0,117,0,51,0,5,1,3,57,111,6,35,0,82,62,55,0,117,117,0,0,117,2022,33,117
2022_34,63,50,47,32,2,0,25,0,7,0,0,112,1,63,0,5,0,1,44,111,2,43,0,70,69,44,0,113,113,0,0,113,2022,34,113
2022_35,54,65,73,16,0,0,20,0,10,0,0,119,0,53,0,3,3,1,59,117,2,51,0,68,62,57,0,119,119,0,0,119,2022,35,119
2022_36,53,55,52,23,3,0,23,0,7,0,0,108,0,42,0,5,2,0,59,104,4,35,0,73,58,50,0,108,108,0,0,108,2022,36,108
2022_37,71,68,68,30,3,0,29,0,9,0,0,139,0,60,0,7,0,2,70,137,2,46,0,93,76,63,0,139,139,0,0,139,2022,37,139
2022_38,65,95,83,36,4,0,25,0,12,0,0,160,0,68,0,11,1,2,78,156,4,54,0,106,79,81,0,160,160,0,0,160,2022,38,160
2022_39,62,69,59,38,3,0,23,0,8,0,0,131,0,56,0,1,1,5,68,129,2,42,0,89,64,67,0,131,130,1,0,131,2022,39,131
2022_40,72,72,82,26,1,0,27,1,7,0,0,144,0,53,0,8,2,1,80,141,3,49,1,94,65,79,0,144,144,0,0,144,2022,40,144
2022_41,86,79,87,37,3,0,25,1,12,0,0,165,0,64,0,7,1,4,89,164,1,60,0,105,87,78,0,165,165,0,0,165,2022,41,165
2022_42,104,143,113,65,1,1,54,2,11,2,0,245,0,105,0,15,1,2,124,246,1,89,0,158,137,110,0,247,247,0,0,247,2022,42,247
2022_43,95,90,84,31,2,0,52,1,15,0,0,185,0,69,0,9,2,3,102,180,5,64,0,121,107,78,0,185,185,0,0,185,2022,43,185
2022_44,109,115,106,42,4,0,47,0,25,0,0,224,0,101,0,9,1,4,109,217,7,83,0,141,116,108,0,224,224,0,0,224,2022,44,224
2022_45,124,131,132,54,2,0,50,1,16,1,0,252,2,107,0,6,0,7,135,249,6,89,1,165,126,129,0,255,254,1,0,255,2022,45,255
2022_46,146,168,140,76,6,0,68,0,24,0,1,313,0,122,0,9,1,4,178,309,5,100,1,213,170,144,0,314,314,0,0,314,2022,46,314
2022_47,144,144,133,75,3,0,55,1,21,0,0,288,0,113,0,6,2,5,162,284,4,84,0,204,160,128,0,288,288,0,0,288,2022,47,288
2022_48,162,183,159,74,4,0,76,1,31,0,0,345,0,122,0,9,1,8,205,338,7,114,0,231,190,155,0,345,345,0,0,345,2022,48,345
2022_49,145,196,148,90,5,0,72,1,25,0,0,339,2,156,0,11,1,8,165,339,2,131,0,210,180,161,0,341,341,0,0,341,2022,49,341
2022_50,159,192,157,97,5,0,69,1,22,1,1,349,0,133,0,9,3,3,203,342,9,119,1,231,175,176,0,351,351,0,0,351,2022,50,351
2022_51,138,190,154,75,8,0,64,0,27,4,0,324,0,120,0,11,1,4,192,322,6,102,1,225,169,159,0,328,328,0,0,328,2022,51,328
2022_52,143,166,151,75,6,0,58,0,19,2,0,306,1,130,0,10,2,8,159,307,2,104,3,202,161,148,0,309,309,0,0,309,2022,52,309
2023_1,12,13,11,6,0,0,7,0,1,0,0,25,0,11,0,6,0,0,8,25,0,11,0,14,13,12,0,25,25,0,0,25,2023,1,25
2023_2,13,15,10,10,1,0,4,0,3,0,0,28,0,13,0,8,0,0,7,28,0,11,0,17,12,16,0,28,27,0,1,28,2023,2,28
2023_3,12,18,8,14,0,0,4,0,4,0,0,30,0,14,0,10,0,0,6,30,0,10,0,20,18,12,0,30,30,0,0,30,2023,3,30
2023_4,8,12,3,6,0,0,4,0,7,0,0,20,0,9,0,7,0,0,4,20,0,7,0,13,11,9,0,20,20,0,0,20,2023,4,20
2023_5,8,12,5,6,1,0,5,0,3,0,0,20,0,8,0,6,0,0,6,20,0,6,0,14,10,10,0,20,20,0,0,20,2023,5,20
2023_6,11,12,8,10,1,0,1,0,3,0,0,23,0,9,0,9,0,0,5,23,0,11,0,12,18,5,0,23,23,0,0,23,2023,6,23
2023_7,9,5,8,1,1,0,3,0,1,0,0,14,0,6,0,5,0,0,3,14,0,3,0,11,9,5,0,14,14,0,0,14,2023,7,14
2023_8,8,8,10,4,0,0,1,0,1,0,0,16,0,7,0,7,0,0,2,16,0,2,0,14,15,1,0,16,16,0,0,16,2023,8,16
2023_9,10,17,9,6,0,0,6,0,6,0,0,27,0,16,0,9,0,0,2,27,0,6,0,21,19,8,0,27,27,0,0,27,2023,9,27
2023_10,5,14,9,2,0,0,6,0,2,0,0,19,0,9,0,8,0,0,2,19,0,3,0,16,14,5,0,19,19,0,0,19,2023,10,19
2023_11,6,10,8,2,1,0,4,0,1,1,0,15,0,7,0,7,0,0,2,16,0,1,0,15,13,3,0,16,16,0,0,16,2023,11,16
2023_12,4,5,1,2,0,0,3,0,3,0,0,8,1,4,0,3,0,0,2,9,0,2,0,7,6,3,0,9,9,0,0,9,2023,12,9
2023_13,3,5,2,3,1,0,2,0,0,0,0,8,0,4,0,2,0,0,2,8,0,1,0,7,7,1,0,8,8,0,0,8,2023,13,8
2023_14,3,6,1,2,0,0,2,0,4,0,0,9,0,7,0,0,0,0,2,9,0,4,0,5,3,6,0,9,9,0,0,9,2023,14,9
2023_15,6,4,3,1,0,0,1,0,5,0,0,10,0,8,0,0,0,0,2,10,0,1,0,9,4,6,0,10,10,0,0,10,2023,15,10
2023_16,9,8,3,3,1,0,5,0,5,0,0,17,0,10,0,4,0,0,3,17,0,1,0,16,8,9,0,17,17,0,0,17,2023,16,17
2023_17,5,9,4,3,1,0,3,0,3,0,0,14,0,7,0,5,1,0,1,14,0,2,0,12,11,3,0,14,14,0,0,14,2023,17,14
2023_18,6,10,6,2,0,0,2,0,6,0,0,16,0,5,0,8,0,0,3,16,0,1,0,15,11,5,0,16,16,0,0,16,2023,18,16
2023_19,5,8,2,7,1,0,2,0,1,0,0,13,0,7,1,3,0,0,2,13,0,1,0,12,7,6,0,13,13,0,0,13,2023,19,13
2023_20,6,6,3,4,0,0,1,0,4,0,0,12,0,6,0,5,0,0,1,12,0,2,0,10,7,5,0,12,12,0,0,12,2023,20,12
2023_21,2,6,3,2,0,0,2,0,1,0,0,8,0,3,0,2,0,0,3,8,0,0,0,8,4,4,0,8,8,0,0,8,2023,21,8
2023_22,4,6,4,3,0,0,0,0,3,0,0,10,0,4,0,1,0,0,5,10,0,0,0,10,4,6,0,10,10,0,0,10,2023,22,10
2023_23,5,3,1,3,0,0,1,0,3,1,0,7,0,7,0,1,0,0,0,8,0,1,0,7,5,3,0,8,8,0,0,8,2023,23,8
2023_24,2,5,1,4,0,0,0,0,2,0,0,7,0,1,0,4,0,0,2,7,0,1,0,6,6,1,0,7,7,0,0,7,2023,24,7
2023_25,2,4,3,2,0,0,0,0,1,0,0,6,0,2,0,1,0,0,3,6,0,3,0,3,4,2,0,6,6,0,0,6,2023,25,6
2023_26,1,3,0,2,0,0,0,0,2,0,0,4,0,3,0,0,0,0,1,4,0,0,0,4,1,3,0,4,4,0,0,4,2023,26,4
2023_27,2,3,2,0,1,0,1,0,1,0,0,5,0,4,0,1,0,0,0,5,0,0,0,5,3,2,0,5,4,1,0,5,2023,27,5
2023_28,3,4,0,3,0,0,2,0,2,0,0,7,0,3,0,2,0,0,2,7,0,1,0,6,5,2,0,7,7,0,0,7,2023,28,7
2023_29,6,11,5,5,1,0,4,0,2,0,0,17,0,4,1,8,0,0,4,17,0,3,0,14,8,9,0,17,17,0,0,17,2023,29,17
2023_30,7,4,5,6,0,0,0,0,0,0,0,11,0,6,0,0,0,1,4,11,0,2,0,9,1,10,0,11,11,0,0,11,2023,30,11
2023_31,7,7,5,4,1,0,1,0,3,1,0,13,0,5,0,5,0,0,4,14,0,5,0,9,11,3,0,14,14,0,0,14,2023,31,14
2023_32,7,9,6,5,0,0,2,0,3,0,0,16,0,8,0,6,0,0,2,16,0,3,0,13,9,7,0,16,16,0,0,16,2023,32,16
2023_33,4,8,5,3,1,0,2,0,1,0,0,12,0,6,0,1,0,1,4,12,0,0,0,12,5,7,0,12,12,0,0,12,2023,33,12
2023_34,6,3,0,1,0,0,7,0,1,0,0,9,0,5,1,2,0,0,1,9,0,1,0,8,7,2,0,9,9,0,0,9,2023,34,9
2023_35,3,3,2,2,0,0,1,0,1,0,0,6,0,5,0,1,0,0,0,6,0,1,0,5,4,2,0,6,6,0,0,6,2023,35,6
2023_36,7,7,3,4,2,0,4,0,1,0,0,14,0,1,0,9,0,0,4,14,0,1,0,13,11,3,0,14,14,0,0,14,2023,36,14
2023_37,5,10,3,6,0,0,3,1,2,0,0,15,0,3,0,8,0,0,4,15,0,0,0,15,8,7,0,15,15,0,0,15,2023,37,15
2023_38,12,5,6,5,0,0,3,0,3,0,0,17,0,4,0,7,0,0,6,17,0,1,0,16,10,7,0,17,16,1,0,17,2023,38,17
2023_39,7,6,3,5,0,0,2,0,3,0,0,13,0,5,0,6,0,0,2,13,0,0,0,13,8,5,0,13,13,0,0,13,2023,39,13
2023_40,5,10,6,7,1,0,1,0,0,0,0,15,0,5,0,5,0,0,5,15,0,0,0,15,7,8,0,15,15,0,0,15,2023,40,15
2023_41,13,4,2,10,0,0,3,0,2,0,0,17,0,7,0,4,0,0,6,17,0,1,0,16,13,4,0,17,17,0,0,17,2023,41,17
2023_42,4,12,4,8,0,0,2,1,1,0,0,16,0,7,0,3,0,0,6,16,0,2,0,14,7,9,0,16,16,0,0,16,2023,42,16
2023_43,8,5,4,6,0,0,2,0,1,0,0,13,0,7,0,3,0,0,3,13,0,1,0,12,8,5,0,13,13,0,0,13,2023,43,13
2023_44,7,2,2,5,0,1,0,0,1,0,0,9,0,4,0,1,0,0,4,9,0,0,0,9,6,3,0,9,9,0,0,9,2023,44,9
2023_45,3,8,1,4,0,0,5,0,1,0,0,11,0,5,0,2,0,0,4,11,0,1,0,10,8,3,0,11,11,0,0,11,2023,45,11
2023_46,13,9,6,10,2,0,4,0,0,0,0,22,0,8,0,6,0,0,8,22,0,6,0,16,11,11,0,22,22,0,0,22,2023,46,22
2023_47,14,3,4,8,0,1,4,0,0,0,0,17,0,7,1,3,0,0,6,17,0,2,0,15,12,5,0,17,17,0,0,17,2023,47,17
2023_48,6,9,5,2,0,0,2,0,6,0,0,15,0,4,0,4,0,0,7,15,0,5,0,10,12,3,0,15,15,0,0,15,2023,48,15
2023_49,9,15,7,13,4,0,0,0,0,0,0,24,0,9,0,6,0,0,9,24,0,7,0,17,13,11,0,24,24,0,0,24,2023,49,24
2023_50,11,12,9,10,1,0,2,0,1,0,0,23,0,11,1,3,0,0,8,23,0,6,0,17,11,12,0,23,22,1,0,23,2023,50,23
2023_51,6,5,2,6,1,0,0,0,2,0,0,11,0,7,0,2,0,0,2,11,0,2,0,9,6,5,0,11,10,1,0,11,2023,51,11
2023_52,0,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,1,1,1,0,2,2,0,0,2,2023,52,2
