municipio,año,periodo,num_casos
POLONUEVO,2021,11,6
POLONUEVO,2021,12,3
POLONUEVO,2021,13,5
POLONUEVO,2022,1,3
POLONUEVO,2022,4,3
POLONUEVO,2022,5,2
POLONUEVO,2022,6,1
POLONUEVO,2022,7,3
POLONUEVO,2022,8,2
POLONUEVO,2022,9,1
POLONUEVO,2022,10,3
POLONUEVO,2022,11,1
POLONUEVO,2022,12,5
POLONUEVO,2022,13,2
POLONUEVO,2023,1,1
POLONUEVO,2023,6,1
POLONUEVO,2023,7,4
POLONUEVO,2023,8,4
POLONUEVO,2023,10,1
POLONUEVO,2023,13,2
PONEDERA,2018,2,1
PONEDERA,2018,10,1
PONEDERA,2018,12,4
PONEDERA,2019,1,3
PONEDERA,2019,2,3
PONEDERA,2019,3,2
PONEDERA,2019,7,3
PONEDERA,2019,8,1
PONEDERA,2019,9,2
PONEDERA,2019,10,8
PONEDERA,2019,11,4
PONEDERA,2019,12,14
PONEDERA,2019,13,16
PONEDERA,2020,1,12
PONEDERA,2020,2,10
PONEDERA,2020,3,1
PONEDERA,2020,5,1
PONEDERA,2020,10,1
PONEDERA,2020,13,2
PONEDERA,2021,8,2
PONEDERA,2021,9,1
PONEDERA,2021,10,1
PONEDERA,2021,12,3
PONEDERA,2021,13,2
PONEDERA,2022,2,1
PONEDERA,2022,7,5
PONEDERA,2022,8,3
PONEDERA,2022,9,4
PONEDERA,2022,10,6
PONEDERA,2022,11,15
PONEDERA,2022,12,3
PONEDERA,2022,13,1
PONEDERA,2023,1,1
PONEDERA,2023,2,1
PONEDERA,2023,3,2
PONEDERA,2023,5,1
PONEDERA,2023,6,1
PONEDERA,2023,8,5
PONEDERA,2023,10,5
PONEDERA,2023,11,9
PONEDERA,2023,12,16
PONEDERA,2023,13,9
PUERTO COLOMBIA,2018,1,2
PUERTO COLOMBIA,2018,2,1
PUERTO COLOMBIA,2018,5,1
PUERTO COLOMBIA,2018,6,1
PUERTO COLOMBIA,2018,7,5
PUERTO COLOMBIA,2018,8,4
PUERTO COLOMBIA,2018,9,2
PUERTO COLOMBIA,2018,11,6
PUERTO COLOMBIA,2018,12,13
PUERTO COLOMBIA,2018,13,3
PUERTO COLOMBIA,2019,1,3
PUERTO COLOMBIA,2019,5,2
PUERTO COLOMBIA,2019,6,7
PUERTO COLOMBIA,2019,7,2
PUERTO COLOMBIA,2019,8,2
PUERTO COLOMBIA,2019,9,1
PUERTO COLOMBIA,2019,10,1
PUERTO COLOMBIA,2019,11,4
PUERTO COLOMBIA,2019,12,8
PUERTO COLOMBIA,2019,13,11
PUERTO COLOMBIA,2020,1,9
PUERTO COLOMBIA,2020,2,8
PUERTO COLOMBIA,2020,3,5
PUERTO COLOMBIA,2020,4,1
PUERTO COLOMBIA,2020,10,1
PUERTO COLOMBIA,2020,11,1
PUERTO COLOMBIA,2021,1,1
PUERTO COLOMBIA,2021,2,2
PUERTO COLOMBIA,2021,5,1
PUERTO COLOMBIA,2021,8,1
PUERTO COLOMBIA,2021,11,4
PUERTO COLOMBIA,2021,12,27
PUERTO COLOMBIA,2021,13,34
PUERTO COLOMBIA,2022,1,25
PUERTO COLOMBIA,2022,2,17
PUERTO COLOMBIA,2022,3,9
PUERTO COLOMBIA,2022,4,8
PUERTO COLOMBIA,2022,5,23
PUERTO COLOMBIA,2022,6,66
PUERTO COLOMBIA,2022,7,76
PUERTO COLOMBIA,2022,8,113
PUERTO COLOMBIA,2022,9,57
PUERTO COLOMBIA,2022,10,51
PUERTO COLOMBIA,2022,11,36
PUERTO COLOMBIA,2022,12,32
PUERTO COLOMBIA,2022,13,26
PUERTO COLOMBIA,2023,1,9
PUERTO COLOMBIA,2023,2,5
PUERTO COLOMBIA,2023,3,7
PUERTO COLOMBIA,2023,4,3
PUERTO COLOMBIA,2023,5,4
PUERTO COLOMBIA,2023,6,3
PUERTO COLOMBIA,2023,7,1
PUERTO COLOMBIA,2023,8,5
PUERTO COLOMBIA,2023,10,4
PUERTO COLOMBIA,2023,11,5
PUERTO COLOMBIA,2023,12,2
PUERTO COLOMBIA,2023,13,5
REPELÓN,2018,10,1
REPELÓN,2019,7,1
REPELÓN,2019,10,1
REPELÓN,2019,12,4
REPELÓN,2019,13,17
REPELÓN,2020,1,20
REPELÓN,2020,2,12
REPELÓN,2020,3,5
REPELÓN,2020,4,1
REPELÓN,2020,5,4
REPELÓN,2020,6,4
REPELÓN,2020,8,1
REPELÓN,2020,9,3
REPELÓN,2020,10,2
REPELÓN,2020,11,2
REPELÓN,2020,12,1
REPELÓN,2020,13,2
REPELÓN,2021,1,2
REPELÓN,2021,11,1
REPELÓN,2021,12,1
REPELÓN,2021,13,2
REPELÓN,2022,7,1
REPELÓN,2022,9,1
REPELÓN,2022,10,1
REPELÓN,2022,12,1
REPELÓN,2023,1,1
REPELÓN,2023,9,3
SABANAGRANDE,2018,1,2
SABANAGRANDE,2018,4,1
SABANAGRANDE,2018,6,1
SABANAGRANDE,2018,8,2
SABANAGRANDE,2018,9,1
SABANAGRANDE,2018,10,1
SABANAGRANDE,2018,11,3
SABANAGRANDE,2018,12,1
SABANAGRANDE,2019,3,2
SABANAGRANDE,2019,7,1
SABANAGRANDE,2019,8,2
SABANAGRANDE,2019,9,2
SABANAGRANDE,2019,10,2
SABANAGRANDE,2019,11,1
SABANAGRANDE,2019,12,1
SABANAGRANDE,2019,13,3
SABANAGRANDE,2020,1,4
SABANAGRANDE,2020,2,2
SABANAGRANDE,2020,11,1
SABANAGRANDE,2020,12,4
SABANAGRANDE,2020,13,16
SABANAGRANDE,2021,1,9
SABANAGRANDE,2021,2,2
SABANAGRANDE,2021,6,1
SABANAGRANDE,2021,10,2
SABANAGRANDE,2021,12,1
SABANAGRANDE,2021,13,4
SABANAGRANDE,2022,1,1
SABANAGRANDE,2022,2,1
SABANAGRANDE,2022,8,2
SABANAGRANDE,2022,9,3
SABANAGRANDE,2022,10,1
SABANAGRANDE,2022,11,4
SABANAGRANDE,2022,12,3
SABANAGRANDE,2023,1,1
SABANAGRANDE,2023,3,2
SABANAGRANDE,2023,4,1
SABANAGRANDE,2023,7,1
SABANAGRANDE,2023,10,1
SABANAGRANDE,2023,13,1
SABANALARGA,2018,1,1
SABANALARGA,2018,2,1
SABANALARGA,2018,3,2
SABANALARGA,2018,5,1
SABANALARGA,2018,6,3
SABANALARGA,2018,7,2
SABANALARGA,2018,8,8
SABANALARGA,2018,9,7
SABANALARGA,2018,10,10
SABANALARGA,2018,11,15
SABANALARGA,2018,12,21
SABANALARGA,2018,13,28
SABANALARGA,2019,1,30
SABANALARGA,2019,2,19
SABANALARGA,2019,3,7
SABANALARGA,2019,4,10
SABANALARGA,2019,5,18
SABANALARGA,2019,6,15
SABANALARGA,2019,7,35
SABANALARGA,2019,8,27
SABANALARGA,2019,9,28
SABANALARGA,2019,10,17
SABANALARGA,2019,11,35
SABANALARGA,2019,12,37
SABANALARGA,2019,13,43
SABANALARGA,2020,1,31
SABANALARGA,2020,2,16
SABANALARGA,2020,3,6
SABANALARGA,2020,4,2
SABANALARGA,2020,6,2
SABANALARGA,2020,8,4
SABANALARGA,2020,9,7
SABANALARGA,2020,10,7
SABANALARGA,2020,11,16
SABANALARGA,2020,12,9
SABANALARGA,2020,13,22
SABANALARGA,2021,1,9
SABANALARGA,2021,2,3
SABANALARGA,2021,4,1
SABANALARGA,2021,5,2
SABANALARGA,2021,6,1
SABANALARGA,2021,7,4
SABANALARGA,2021,8,12
SABANALARGA,2021,9,14
SABANALARGA,2021,10,15
SABANALARGA,2021,11,48
SABANALARGA,2021,12,39
SABANALARGA,2021,13,26
SABANALARGA,2022,1,22
SABANALARGA,2022,2,8
SABANALARGA,2022,3,5
SABANALARGA,2022,4,7
SABANALARGA,2022,5,6
SABANALARGA,2022,6,20
SABANALARGA,2022,7,40
SABANALARGA,2022,8,46
SABANALARGA,2022,9,41
SABANALARGA,2022,10,24
SABANALARGA,2022,11,42
SABANALARGA,2022,12,25
SABANALARGA,2022,13,25
SABANALARGA,2023,1,14
SABANALARGA,2023,2,8
SABANALARGA,2023,3,3
SABANALARGA,2023,4,5
SABANALARGA,2023,5,2
SABANALARGA,2023,6,2
SABANALARGA,2023,7,1
SABANALARGA,2023,8,5
SABANALARGA,2023,9,4
SABANALARGA,2023,10,3
SABANALARGA,2023,11,4
SABANALARGA,2023,12,2
SABANALARGA,2023,13,3
SANTA LUCÍA,2019,4,1
SANTA LUCÍA,2019,13,2
SANTA LUCÍA,2020,1,1
SANTA LUCÍA,2020,5,3
SANTA LUCÍA,2020,6,3
SANTA LUCÍA,2020,7,1
SANTA LUCÍA,2020,8,4
SANTA LUCÍA,2020,9,4
SANTA LUCÍA,2020,10,1
SANTA LUCÍA,2021,10,2
SANTA LUCÍA,2021,11,3
SANTA LUCÍA,2021,12,1
SANTA LUCÍA,2021,13,2
SANTA LUCÍA,2022,1,3
SANTA LUCÍA,2022,2,5
SANTA LUCÍA,2022,3,1
SANTA LUCÍA,2022,4,1
SANTA LUCÍA,2022,13,1
SANTA LUCÍA,2023,1,1
SANTA LUCÍA,2023,5,1
SANTO TOMÁS,2018,1,2
SANTO TOMÁS,2018,3,1
SANTO TOMÁS,2018,5,1
SANTO TOMÁS,2018,6,1
SANTO TOMÁS,2018,11,1
SANTO TOMÁS,2018,12,1
SANTO TOMÁS,2019,5,1
SANTO TOMÁS,2019,6,1
SANTO TOMÁS,2019,7,2
SANTO TOMÁS,2019,8,2
SANTO TOMÁS,2019,9,1
SANTO TOMÁS,2019,11,2
SANTO TOMÁS,2019,12,1
SANTO TOMÁS,2019,13,1
SANTO TOMÁS,2020,1,1
SANTO TOMÁS,2020,2,2
SANTO TOMÁS,2020,3,1
SANTO TOMÁS,2020,4,1
SANTO TOMÁS,2020,8,1
SANTO TOMÁS,2020,11,2
SANTO TOMÁS,2020,13,1
SANTO TOMÁS,2021,1,2
SANTO TOMÁS,2021,9,1
SANTO TOMÁS,2021,10,1
SANTO TOMÁS,2021,11,1
SANTO TOMÁS,2021,12,4
SANTO TOMÁS,2021,13,2
SANTO TOMÁS,2022,1,1
SANTO TOMÁS,2022,2,1
SANTO TOMÁS,2022,3,1
SANTO TOMÁS,2022,4,2
SANTO TOMÁS,2022,8,1
SANTO TOMÁS,2022,9,2
SANTO TOMÁS,2022,10,1
SANTO TOMÁS,2022,11,4
SANTO TOMÁS,2022,12,1
SANTO TOMÁS,2022,13,2
SANTO TOMÁS,2023,1,3
SANTO TOMÁS,2023,5,4
SANTO TOMÁS,2023,6,1
SANTO TOMÁS,2023,8,1
SANTO TOMÁS,2023,9,1
SANTO TOMÁS,2023,10,2
SANTO TOMÁS,2023,11,2
SANTO TOMÁS,2023,12,4
SANTO TOMÁS,2023,13,1
SOLEDAD,2018,1,132
SOLEDAD,2018,2,88
SOLEDAD,2018,3,25
SOLEDAD,2018,4,15
SOLEDAD,2018,5,19
SOLEDAD,2018,6,11
SOLEDAD,2018,7,24
SOLEDAD,2018,8,42
SOLEDAD,2018,9,47
SOLEDAD,2018,10,53
SOLEDAD,2018,11,51
SOLEDAD,2018,12,84
SOLEDAD,2018,13,84
SOLEDAD,2019,1,82
SOLEDAD,2019,2,48
SOLEDAD,2019,3,11
SOLEDAD,2019,4,9
SOLEDAD,2019,5,8
SOLEDAD,2019,6,14
SOLEDAD,2019,7,27
SOLEDAD,2019,8,32
SOLEDAD,2019,9,19
SOLEDAD,2019,10,26
SOLEDAD,2019,11,55
SOLEDAD,2019,12,123
SOLEDAD,2019,13,156
SOLEDAD,2020,1,203
SOLEDAD,2020,2,107
SOLEDAD,2020,3,37
SOLEDAD,2020,4,6
SOLEDAD,2020,5,4
SOLEDAD,2020,6,6
SOLEDAD,2020,7,3
SOLEDAD,2020,8,4
SOLEDAD,2020,9,9
SOLEDAD,2020,10,10
SOLEDAD,2020,11,10
SOLEDAD,2020,12,20
SOLEDAD,2020,13,43
SOLEDAD,2021,1,25
SOLEDAD,2021,2,26
SOLEDAD,2021,3,13
SOLEDAD,2021,4,8
SOLEDAD,2021,5,5
SOLEDAD,2021,6,14
SOLEDAD,2021,7,20
SOLEDAD,2021,8,34
SOLEDAD,2021,9,81
SOLEDAD,2021,10,186
SOLEDAD,2021,11,292
SOLEDAD,2021,12,500
SOLEDAD,2021,13,347
SOLEDAD,2022,1,184
SOLEDAD,2022,2,118
SOLEDAD,2022,3,54
SOLEDAD,2022,4,23
SOLEDAD,2022,5,17
SOLEDAD,2022,6,30
SOLEDAD,2022,7,61
SOLEDAD,2022,8,106
SOLEDAD,2022,9,136
SOLEDAD,2022,10,184
SOLEDAD,2022,11,287
SOLEDAD,2022,12,418
SOLEDAD,2022,13,507
SOLEDAD,2023,1,402
SOLEDAD,2023,2,210
SOLEDAD,2023,3,72
SOLEDAD,2023,4,32
SOLEDAD,2023,5,49
SOLEDAD,2023,6,32
SOLEDAD,2023,7,49
SOLEDAD,2023,8,102
SOLEDAD,2023,9,71
SOLEDAD,2023,10,64
SOLEDAD,2023,11,45
SOLEDAD,2023,12,68
SOLEDAD,2023,13,54
SUAN,2018,6,1
SUAN,2019,1,1
SUAN,2019,2,1
SUAN,2019,6,1
SUAN,2019,7,2
SUAN,2019,8,1
SUAN,2019,9,5
SUAN,2019,10,1
SUAN,2019,11,1
SUAN,2019,12,4
SUAN,2019,13,3
SUAN,2020,1,9
SUAN,2020,2,3
SUAN,2020,3,1
SUAN,2020,4,2
SUAN,2021,11,1
SUAN,2021,12,1
SUAN,2021,13,2
SUAN,2022,1,4
SUAN,2022,2,12
SUAN,2022,3,7
SUAN,2022,4,2
SUAN,2022,5,5
SUAN,2022,6,14
SUAN,2022,7,7
SUAN,2022,8,10
SUAN,2022,9,3
SUAN,2022,10,1
SUAN,2023,6,2
SUAN,2023,8,1
SUAN,2023,9,4
SUAN,2023,10,3
SUAN,2023,12,4
TUBARÁ,2018,7,1
TUBARÁ,2018,8,3
TUBARÁ,2018,9,2
TUBARÁ,2018,10,3
TUBARÁ,2018,11,1
TUBARÁ,2018,13,1
TUBARÁ,2019,1,1
TUBARÁ,2019,7,1
TUBARÁ,2019,11,2
TUBARÁ,2020,1,4
TUBARÁ,2020,2,10
TUBARÁ,2020,3,1
TUBARÁ,2020,6,1
TUBARÁ,2020,7,1
TUBARÁ,2021,5,1
TUBARÁ,2021,9,1
TUBARÁ,2021,11,3
TUBARÁ,2021,12,3
TUBARÁ,2021,13,1
TUBARÁ,2022,1,1
TUBARÁ,2022,2,1
TUBARÁ,2022,3,1
TUBARÁ,2022,4,1
TUBARÁ,2022,5,1
TUBARÁ,2022,7,6
TUBARÁ,2022,10,1
TUBARÁ,2022,11,7
TUBARÁ,2022,12,9
TUBARÁ,2022,13,1
TUBARÁ,2023,2,1
TUBARÁ,2023,4,1
TUBARÁ,2023,7,1
TUBARÁ,2023,12,1
USIACURÍ,2018,1,1
USIACURÍ,2018,6,1
USIACURÍ,2018,7,4
USIACURÍ,2018,8,5
USIACURÍ,2018,11,2
USIACURÍ,2018,12,3
USIACURÍ,2018,13,2
USIACURÍ,2019,2,2
USIACURÍ,2019,7,1
USIACURÍ,2019,9,3
USIACURÍ,2019,12,1
USIACURÍ,2020,2,1
USIACURÍ,2020,10,1
USIACURÍ,2021,13,2
USIACURÍ,2022,1,1
USIACURÍ,2022,5,2
USIACURÍ,2022,7,1
USIACURÍ,2022,11,2
USIACURÍ,2022,12,1
USIACURÍ,2022,13,2
USIACURÍ,2023,1,1
USIACURÍ,2023,4,2
USIACURÍ,2023,5,5
USIACURÍ,2023,6,7
USIACURÍ,2023,7,46
USIACURÍ,2023,8,62
USIACURÍ,2023,9,23
USIACURÍ,2023,10,29
USIACURÍ,2023,11,24
USIACURÍ,2023,12,11
USIACURÍ,2023,13,2
